0	0	3.14	8.33	3.14
0	0	3.14	8.33	3.14
0	0	3.14	8.33	3.14
0	0	3.14	8.33	3.14
0.001	0	3.14	8.33	3.14
0.004	0.009	3.14	8.33	3.13
0.012	0.102	3.14	8.31	3.04
0.012	0.102	3.14	8.31	3.04
0.02	0.259	3.14	8.29	2.88
0.02	0.262	3.14	8.29	2.88
0.02	0.262	3.14	8.29	2.88
0.026	0.422	3.14	8.26	2.72
0.026	0.422	3.14	8.26	2.72
0.03	0.582	3.14	8.23	2.56
0.03	0.582	3.14	8.23	2.56
0.034	0.742	3.14	8.2	2.4
0.034	0.742	3.14	8.2	2.4
0.038	0.902	3.14	8.16	2.24
0.038	0.902	3.14	8.16	2.24
0.04	1.01	3.14	8.14	2.13
0.041	1.06	3.14	8.13	2.08
0.041	1.06	3.14	8.13	2.08
0.044	1.22	3.14	8.09	1.92
0.044	1.22	3.14	8.09	1.92
0.047	1.38	3.14	6.5	1.76
0.047	1.38	3.14	6.5	1.76
0.049	1.5	3.14	5.55	1.64
0.049	1.5	3.14	5.55	1.64
0.05	1.54	3.14	5.31	1.6
0.05	1.54	3.14	5.31	1.6
0.052	1.64	3.14	4.73	1.5
0.052	1.64	3.14	4.73	1.5
0.053	1.7	3.14	4.43	1.44
0.053	1.7	3.14	4.43	1.44
0.054	1.78	3.14	4.08	1.36
0.054	1.78	3.14	4.08	1.36
0.055	1.86	3.14	3.74	1.28
0.055	1.86	3.14	3.74	1.28
0.056	1.91	3.14	3.54	1.23
0.056	1.91	3.14	3.54	1.23
0.058	2.02	3.14	3.17	1.12
0.058	2.02	3.14	3.17	1.12
0.058	2.05	3.14	3.07	1.09
0.058	2.05	3.14	3.07	1.09
0.06	2.15	3.14	2.75	0.988
0.06	2.18	3.14	2.67	0.96
0.06	2.18	3.14	2.67	0.96
0.061	2.19	3.14	2.65	0.955
0.061	2.19	3.14	2.65	0.955
0.063	2.32	3.14	2.27	0.819
0.063	2.32	3.14	2.27	0.819
0.063	2.34	3.14	2.22	0.8
0.063	2.34	3.14	2.22	0.8
0.065	2.46	3.14	1.91	0.682
0.065	2.46	3.14	1.91	0.682
0.066	2.5	3.14	1.8	0.64
0.066	2.5	3.14	1.8	0.64
0.067	2.6	3.14	1.55	0.546
0.067	2.6	3.14	1.55	0.546
0.068	2.66	3.14	1.39	0.48
0.068	2.66	3.14	1.39	0.48
0.069	2.73	3.14	1.2	0.409
0.069	2.73	3.14	1.2	0.409
0.071	2.82	3.14	0.964	0.32
0.071	2.82	3.14	0.964	0.32
0.071	2.87	3.14	0.833	0.273
0.071	2.87	3.14	0.833	0.273
0.073	2.98	3.14	0.51	0.16
0.073	2.98	3.14	0.51	0.16
0.074	3	3.14	0.438	0.136
0.074	3	3.14	0.438	0.136
0.076	3.14	3.14	0	0
0.076	3.14	3.14	-0	-0
0.078	3.29	3.14	-0.28	-0.149
0.078	3.29	3.14	-0.28	-0.149
0.08	3.39	3.14	-0.461	-0.253
0.081	3.44	3.14	-0.539	-0.299
0.081	3.44	3.14	-0.539	-0.299
0.081	3.48	3.14	-0.598	-0.333
0.081	3.48	3.14	-0.598	-0.333
0.082	3.5	3.14	-0.636	-0.357
0.082	3.5	3.14	-0.636	-0.357
0.083	3.59	3.14	-0.779	-0.448
0.083	3.59	3.14	-0.779	-0.448
0.086	3.74	3.14	-1.01	-0.597
0.086	3.74	3.14	-1.01	-0.597
0.087	3.81	3.14	-1.13	-0.667
0.087	3.81	3.14	-1.13	-0.667
0.088	3.89	3.14	-1.25	-0.746
0.088	3.89	3.14	-1.25	-0.746
0.091	4.04	3.14	-1.48	-0.896
0.091	4.04	3.14	-1.48	-0.896
0.093	4.14	3.14	-1.66	-1
0.093	4.14	3.14	-1.66	-1
0.094	4.19	3.14	-1.73	-1.04
0.094	4.19	3.14	-1.73	-1.04
0.097	4.34	3.14	-1.99	-1.19
0.097	4.34	3.14	-1.99	-1.19
0.099	4.47	3.14	-2.27	-1.33
0.099	4.47	3.14	-2.27	-1.33
0.099	4.49	3.14	-2.29	-1.34
0.099	4.49	3.14	-2.29	-1.34
0.1	4.51	3.14	-2.35	-1.37
0.102	4.63	3.14	-2.63	-1.49
0.102	4.63	3.14	-2.63	-1.49
0.105	4.76	3.14	-2.97	-1.62
0.106	4.78	3.14	-3.04	-1.64
0.106	4.78	3.14	-3.04	-1.64
0.106	4.81	3.14	-3.12	-1.67
0.106	4.81	3.14	-3.12	-1.67
0.109	4.93	3.14	-3.54	-1.79
0.109	4.93	3.14	-3.54	-1.79
0.109	4.95	3.14	-3.62	-1.81
0.109	4.95	3.14	-3.62	-1.81
0.112	5.08	3.14	-4.18	-1.94
0.112	5.08	3.14	-4.18	-1.94
0.113	5.09	3.14	-4.23	-1.95
0.113	5.09	3.14	-4.23	-1.95
0.114	5.14	3.14	-4.49	-2
0.114	5.14	3.14	-4.49	-2
0.116	5.23	3.14	-5	-2.09
0.116	5.23	3.14	-5	-2.09
0.12	5.38	3.14	-5	-2.23
0.123	5.47	3.14	-5	-2.33
0.123	5.47	3.14	-5	-2.33
0.128	5.61	3.14	-5	-2.47
0.132	5.73	3.14	-5	-2.59
0.136	5.81	3.14	-5	-2.67
0.136	5.81	3.14	-5	-2.67
0.14	5.87	3.14	-5	-2.73
0.145	5.94	3.14	-5	-2.79
0.153	6	3.14	-5	-2.86
0.16	6.01	3.14	-5	-2.87
0.18	5.81	3.14	-5	-2.67
0.18	5.81	3.14	-5	-2.67
0.18	5.81	3.14	-5	-2.67
0.194	5.47	3.14	-5	-2.33
